"","Condition","Epoch","Hemisphere","subID","Skill","X","Handedness","Footedness","Age","Gender","Soccer_Time","Age_Last_Comp","Highest_Level","Currently_Play","Direction","Height","Total","Direction_Perc","Height_Perc","Total_Perc","Misc","Hz","CP_Avg_Hem","CP_Avg_Single","CP_Avg_Single_Med","P_Avg_Hem","P_Avg_Single","P_Avg_Single_Med"
"81","B","E2","Left","P01","LS",203,"R","R",34,"M",0,NA,NA,0,47,49,24,0.51,0.53,0.26,NA,13,0.0697722091323789,0.0733173820118027,0.0662270362529552,-0.237043284360379,-0.374399439037384,-0.0996871296833746
"82","B","E2","Left","P02","LS",3195,"R","R",26,"M",3,13,NA,0,61,48,35,0.66,0.52,0.38,NA,13,-0.775490535542801,-0.913939704968381,-0.637041366117221,-0.694550173223718,-0.604434177004464,-0.784666169442972
"83","B","E2","Left","P03","LS",6557,"R","R",24,"M",1,NA,NA,0,64,47,35,0.7,0.51,0.38,NA,13,-0.459691738156611,-0.36636327549263,-0.553020200820592,-0.740591747491512,-0.957297562648878,-0.523885932334148
"84","B","E2","Left","P04","S",9725,"R","R",33,"M",29,NA,"College",3.5,54,45,26,0.59,0.49,0.28,NA,13,-0.459278034707259,-0.382940029529908,-0.535616039884611,-0.666738478692547,-0.711439023732821,-0.622037933652274
"85","B","E2","Left","P05","S",13261,"R","R",52,"M",48,NA,"Semi-Pro",3,66,47,37,0.72,0.51,0.4,NA,13,-0.167104236731695,-0.0463032614623393,-0.287905212001051,-0.165261922028496,-0.139275204437518,-0.191248639619474
"86","B","E2","Left","P06","S",16077,"R","R",50,"M",42,NA,"Unknown",1,60,42,28,0.65,0.46,0.3,NA,13,-0.099029411516277,0.00305543255948636,-0.20111425559204,-0.192291596090324,-0.198687831915125,-0.185895360265523
"87","B","E2","Left","P07","LS",18583,"R","R",27,"M",0,NA,NA,0.04,62,54,38,0.67,0.59,0.41,NA,13,0.00855631813459506,0.159323597256781,-0.142210960987591,-0.0455714869762732,0.0744355058200253,-0.165578479772572
"88","B","E2","Left","P08","LS",21699,"R","R",26,"F",0,NA,NA,0,46,48,22,0.5,0.52,0.24,NA,13,-0.688376895932689,-0.569499201903847,-0.80725458996153,-0.586808117641338,-0.56868427182709,-0.604931963455585
"89","B","E2","Left","P09","S",25060,"R","R",38,"M",30,NA,"College",2,70,39,31,0.76,0.42,0.34,NA,13,-0.393328884014659,-0.46843475611426,-0.318223011915058,-0.402221928572454,-0.398426356826296,-0.406017500318611
"90","B","E2","Left","P10","S",28621,"R","R",27,"F",21,22,"College",0,53,45,30,0.58,0.49,0.33,NA,13,-0.39252679542854,-0.44939455447802,-0.33565903637906,-0.379996727154469,-0.328640004631462,-0.431353449677476
"91","B","E2","Left","P11","S",31412,"R","R",28,"M",23,NA,"Club College",1.5,62,48,33,0.67,0.52,0.36,NA,13,-0.735973725234092,-0.818802156784614,-0.653145293683569,-0.634294019935085,-0.723550212992977,-0.545037826877193
"92","B","E2","Left","P12","LS",33917,"R","R",26,"M",1,6,NA,0,58,43,31,0.63,0.47,0.34,NA,13,-0.745143191220587,-0.71862493909261,-0.771661443348563,-0.819663090248942,-0.8120238724453,-0.827302308052583
"93","B","E2","Left","P13","S",37643,"R","L",22,"F",16,NA,"College",3,69,53,36,0.75,0.58,0.39,NA,13,-0.153116190271548,-0.292638931790132,-0.013593448752964,-0.362352695690415,-0.482330112719423,-0.242375278661407
"94","B","E2","Left","P14","S",40514,"R","R",27,"F",10,26,"College",0,54,49,29,0.59,0.53,0.32,"Pandemic",13,-0.0092653120671237,-0.124812998214279,0.106282374080032,0.00886218375006604,-0.115118068865041,0.132842436365173
"95","B","E2","Left","P15","S",43970,"L","R",27,"F",21,NA,"High School",3,53,45,24,0.58,0.49,0.26,NA,13,-0.342678509363841,-0.249193037324402,-0.43616398140328,-0.790253876809415,-0.579993108842052,-1.00051464477678
